V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,Class,Class_num
0.0,0.0,0.301299,0.215385,0.363636,0.259259,1,b'1',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,b'1',b'1',0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,b'1',b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.75,0.75,0.827679,0.795455,0.729167,0.611111,b'2',b'2',0.888889,0.888889,0.944444,0.911111,0.980392,0.923077,b'2',b'2',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,b'1',1.0,1.0,1.0,b'3',0.999892,0.555556,0.285714,b'2',0.999917,0.6,0.375,b'2',0.978679,0.60788,0.396168,1,0.982576,0.644336,0.438054,1,1.0,0.979322,Duplicado,1
1.0,0.75,0.857143,0.857143,0.607143,0.642857,2,b'1',0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,b'1',0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,b'1',0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,b'1',0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,b'1',b'1',0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,b'1',b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,0.833333,0.909091,0.909091,0.842105,0.846154,b'3',b'2',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,3,0.530065,0.760775,0.647217,b'1',1.0,1.0,1.0,b'3',1.0,1.0,1.0,b'3',1.0,1.0,1.0,b'3',0.978679,0.60788,0.396168,1,0.982576,0.644336,0.438054,1,1.0,0.979322,Duplicado,1
0.5,0.5,0.642857,0.5,0.166667,0.277778,1,b'1',0.0,0.0,0.107143,0.0,0.0625,0.0,2,b'2',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,b'1',b'1',0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,b'1',b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.833333,0.625,0.744898,0.714286,0.666667,0.54717,b'2',b'2',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.915725,0.913316,0.962043,0.936303,0.963992,0.936316,1,b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',2e-05,0.545455,0.333333,2,0.530065,0.760775,0.647217,b'1',0.791184,0.888243,0.829007,b'2',1.0,1.0,1.0,b'3',1.0,1.0,1.0,b'3',0.978679,0.60788,0.396168,1,0.982576,0.644336,0.438054,1,1.0,0.979322,Não Duplicado,0
0.5,0.5,0.6,0.5,0.230769,0.4,1,b'1',0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,b'1',0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,b'1',0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,b'1',0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,b'1',b'1',0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,b'1',b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.75,0.666667,0.897759,0.803922,0.829787,0.78,b'2',b'2',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,b'1',1.0,1.0,1.0,b'3',1.0,1.0,1.0,b'3',1.0,1.0,1.0,b'3',0.994203,0.5,0.333333,2,0.998786,0.555556,0.384615,2,1.0,0.999965,Duplicado,1
1.0,1.0,1.0,1.0,1.0,1.0,2,b'2',0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,b'1',0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,b'1',0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,b'1',0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,b'1',b'1',0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,b'1',b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.8,0.666667,0.727273,0.727273,0.555556,0.486486,b'2',b'2',1.0,0.333333,0.5,0.5,0.4,0.419355,b'3',b'2',0.915725,0.913316,0.962043,0.936303,0.963992,0.936316,1,b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,b'1',1.0,1.0,1.0,b'3',0.956626,0.333333,0.176471,b'2',0.995922,0.5,0.235294,b'2',0.978679,0.60788,0.396168,1,0.982576,0.644336,0.438054,1,0.997932,0.979322,Duplicado,1
0.666667,0.4,0.674107,0.5,0.285714,0.419355,1,b'1',0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,b'1',0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,b'1',0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,b'1',0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,b'1',b'1',0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,b'1',b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.888889,0.888889,0.944444,0.930556,0.693878,0.9,b'2',b'2',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,b'1',1.0,1.0,1.0,b'3',1.0,0.888889,0.636364,b'2',0.999999,0.9,0.75,b'2',0.978679,0.60788,0.396168,1,0.982576,0.644336,0.438054,1,1.0,0.979322,Duplicado,1
1.0,0.666667,0.8,0.8,0.657143,0.676471,2,b'1',0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,b'1',0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,b'1',0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,b'1',0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,b'1',b'1',0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,b'1',b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.857143,0.857143,0.928571,0.892857,0.84375,0.911765,b'2',b'2',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,b'1',1.0,1.0,1.0,b'3',0.999931,0.555556,0.333333,b'2',0.999994,0.7,0.466667,b'2',0.999994,0.75,0.545455,2,0.999995,0.8,0.538462,2,1.0,1.0,Duplicado,1
1.0,1.0,1.0,1.0,1.0,1.0,2,b'2',0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,b'1',0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,b'1',0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,b'1',0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,b'1',b'1',0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,b'1',b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.857143,0.75,0.844444,0.833333,0.69697,0.692308,b'2',b'2',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,3,0.530065,0.760775,0.647217,b'1',1.0,1.0,1.0,b'3',1.0,1.0,1.0,b'3',1.0,1.0,1.0,b'3',1.0,1.0,1.0,3,1.0,1.0,1.0,3,1.0,1.0,Duplicado,1
1.0,1.0,1.0,1.0,1.0,1.0,2,b'2',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,b'1',b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.666667,0.666667,0.896825,0.824074,0.878788,0.736842,b'2',b'2',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,b'1',1.0,1.0,1.0,b'3',0.999873,0.555556,0.333333,b'2',0.999998,0.8,0.571429,b'2',0.978679,0.60788,0.396168,1,0.982576,0.644336,0.438054,1,1.0,0.979322,Duplicado,1
0.0,0.0,0.416667,0.227778,0.333333,0.242424,1,b'1',0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,b'1',0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,b'1',0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,b'1',0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,b'1',b'1',0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,b'1',b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.5,0.444444,0.605042,0.490196,0.576923,0.4,b'2',b'2',1.0,0.625,0.769231,0.769231,0.673913,0.659091,b'3',b'2',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',2e-06,0.4,0.222222,2,0.530065,0.760775,0.647217,b'1',0.038462,0.0,0.0,b'2',0.998304,0.555556,0.2,b'2',0.998936,0.6,0.294118,b'2',0.978679,0.60788,0.396168,1,0.982576,0.644336,0.438054,1,0.999996,0.979322,Não Duplicado,0
0.666667,0.4,0.567857,0.5,0.441176,0.361111,1,b'1',0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,b'1',0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,b'1',0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,b'1',0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,b'1',b'1',0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,b'1',b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,0.5,0.666667,0.666667,0.625,0.64,b'3',b'2',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,b'1',0.791184,0.888243,0.829007,b'2',1.0,1.0,1.0,b'3',1.0,1.0,1.0,b'3',0.993223,0.375,0.214286,2,0.980789,0.555556,0.25,2,1.0,0.99957,Duplicado,1
0.0,0.0,0.1875,0.0,0.117647,0.0,1,b'1',0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,b'1',0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,b'1',0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,b'1',0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,b'1',b'1',0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,b'1',b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,0.4,0.571429,0.571429,0.454545,0.484848,b'3',b'2',1.0,0.333333,0.5,0.5,0.384615,0.410256,b'3',b'2',0.915725,0.913316,0.962043,0.936303,0.963992,0.936316,1,b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,3,0.530065,0.760775,0.647217,b'1',0.791184,0.888243,0.829007,b'2',0.999981,0.666667,0.428571,b'2',0.999909,0.7,0.4,b'2',0.998974,0.625,0.285714,2,0.999994,0.777778,0.538462,2,1.0,0.999999,Duplicado,1
0.0,0.0,0.0,0.0,0.0,0.0,1,b'1',0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,b'1',0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,b'1',0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,b'1',0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,b'1',b'1',0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,b'1',b'1',0.952529,0.951311,0.964656,0.957252,0.964233,0.95708,b'1',b'1',0.0,0.0,0.283333,0.049784,0.232558,0.052632,b'2',b'2',1.0,0.555556,0.714286,0.714286,0.553191,0.574468,b'3',b'2',0.915725,0.913316,0.962043,0.936303,0.963992,0.936316,1,b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,b'1',0.791184,0.888243,0.829007,b'1',0.999999,0.888889,0.538462,b'2',0.999985,0.6,0.375,b'2',0.978679,0.60788,0.396168,1,0.982576,0.644336,0.438054,1,1.0,0.979322,Não Duplicado,0
1.0,0.333333,0.5,0.5,0.305556,0.333333,2,b'1',0.860946,0.82159,0.883386,0.854119,0.869568,0.85497,1,b'1',0.788883,0.783218,0.892686,0.83383,0.89033,0.830611,1,b'1',0.638456,0.573995,0.688899,0.620578,0.666124,0.587256,1,b'1',0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,b'1',b'1',0.726359,0.726359,0.85644,0.803013,0.855454,0.802935,b'1',b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,0.571429,0.727273,0.727273,0.542857,0.542857,b'3',b'2',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.662489,0.842344,0.76457,1,0.530065,0.760775,0.647217,b'1',1.0,1.0,1.0,b'3',0.999979,0.666667,0.428571,b'2',0.999945,0.6,0.375,b'2',0.978679,0.60788,0.396168,1,0.982576,0.644336,0.438054,1,1.0,0.979322,Duplicado,1
1.0,1.0,1.0,1.0,1.0,1.0,2,b'2',1.0,0.5,0.666667,0.666667,0.5,0.545455,3,b'2',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',0.830529,0.729086,0.809689,0.778477,0.752853,0.70463,b'1',b'1',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',0.857143,0.75,0.92,0.87619,0.860465,0.813953,b'2',b'2',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,1.0,1.0,1.0,3,b'3',1.0,1.0,1.0,1.0,1.0,1.0,b'3',b'3',1.0,1.0,1.0,3,0.530065,0.760775,0.647217,b'1',1.0,1.0,1.0,b'3',0.999914,0.555556,0.333333,b'2',0.999915,0.5,0.294118,b'2',0.999956,0.555556,0.384615,2,0.999996,0.7,0.538462,2,1.0,1.0,Duplicado,1
